ID,Question,Difficulty,A,B,C,D,Correct Answer
1,Color,3,apple,pc,green,hat,C
2,How many days are in a week?,1,5,7,6,10,B
3,What color is the sky on a clear day?,1,Blue,Yellow,Black,Orange,A
4,Which animal can fly?,1,Dog,Bird,Cat,Cow,B
5,How many sides does a triangle have?,1,4,3,5,6,B
6,Which fruit is yellow and curved?,1,Apple,Banana,Kiwi,Orange,B
7,What do bees produce?,1,Milk,Honey,Water,Oil,B
8,What planet is known as the red planet?,2,Mars,Venus,Earth,Jupiter,A
9,What do plants need most to grow?,2,Plastic,Sunlight,Stone,Metal,B
10,Which shape has 4 equal sides?,2,Rectangle,Square,Circle,Triangle,B
11,Which device is used to make phone calls?,2,Remote,Phone,Keyboard,Mouse,B
12,Which season is the coldest?,2,Summer,Winter,Spring,Fall,B
13,Which is a primary color?,2,Purple,Blue,Pink,Brown,B
14,What gas do humans breathe out?,3,Oxygen,Hydrogen,Carbon Dioxide,Nitrogen,C
15,Which animal is a mammal?,3,Shark,Whale,Eagle,Frog,B
16,Which number is a prime number?,3,9,15,11,21,C
17,What part of the plant makes food?,3,Roots,Leaves,Stem,Soil,B
18,Which planet has the most moons?,3,Mercury,Mars,Jupiter,Earth,C
19,What is the hardest natural substance on Earth?,3,Gold,Iron,Diamond,Stone,C
20,What is the fastest land animal?,2,Cheetah,Lion,Horse,Tiger,A
21,Which organ pumps blood through the body?,2,Brain,Heart,Lung,Stomach,B
