ID,Question,Difficulty,A,B,C,D,Correct Answer
1,?You join a new software team. They hand you a short document describing goals  constraints  and users. Which artifact is this,1,SRS,SDP,UML Diagram,ERD,A
2,A customer says: 'I don’t know what I want  but I’ll know it when I see it'. Which development model fits this?,1,Waterfall,Agile,Incremental,V-Model,B
3,During a sprint  your team discovers the login button is not placed clearly in the UI. What is this an example of?,1,Non-functional requirement,Functional requirement,Usability issue,Constraint,C
4,You design a class Student that inherits from Person. What concept does this represent?,1,Abstraction,Composition,Inheritance,Encapsulation,C
5,You draw a diagram showing actors and the system interactions. What diagram is this?,1,Class Diagram,Sequence Diagram,Use Case Diagram,State Machine,C
6,You are analyzing how the system behaves when moving between states: draft → submitted → approved. Which UML diagram do you use?,2,Activity,Sequence,State Machine,Component,C
7,During a meeting  the client adds a new requirement: exporting reports to PDF. What should the team update first?,2,SRS,SDP,Class Diagram,Test Plan,A
8,A software module breaks because another module changed its API. What does this situation represent?,2,Low cohesion,High cohesion,Tight coupling,Loose coupling,C
9,The team divides work into two-week cycles  each ending with a working version. What Agile concept is this?,2,Sprint,Epic,Backlog,Velocity,A
10,In testing  you compare actual output to expected output. What type of testing is this?,2,Integration,Unit,Functional,Regression,C
11,A system must process 50 000 requests per second. What type of requirement is this?,3,Functional,Performance NFR,Security NFR,Usability NFR,B
12,A UML diagram showing classes  attributes  and relationships models what?,3,Static structure,Dynamic behavior,System states,User interactions,A
13,A tester finds a defect in which two threads modify the same variable causing corruption. What is this?,3,Deadlock,Race condition,Starvation,Memory leak,B
14,Your project requires working with legacy code you cannot modify. This is considered a…,3,Assumption,Risk,Constraint,Requirement,C
15,A system reacts differently based on previous inputs. What kind of system behavior is this?,3,Stateless,Stateful,Deterministic,Static,B
16,A project suddenly loses its only database expert. According to risk management  what stage is this?,4,Risk identification,Risk mitigation,Risk monitoring,Risk realization,D
17,The team wants to ensure modules can be swapped without breaking the system. What design quality is needed?,4,Tight coupling,High cohesion,Low cohesion,Modularity,D
18,You simulate the whole software before writing code  checking flows and bottlenecks. What model is this?,4,Prototype,Simulation,V-Model,Waterfall,B
19,You trace every SRS requirement to corresponding tests. This process is called…,4,Verification,Validation,Traceability,Integration,C
20,You must deliver a system with zero downtime deployment. This constraint is mainly related to…,4,Maintainability,Availability,Security,Portability,B
21,how are you ?,4,fine,okay,sad,happy,D
